none,none,none,TimeStamp,EventID,TTLValue,none,none,none,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Eventstring
2048, 4098, 2, 4900469188, 119, -32704, 23119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8040
2048, 4098, 2, 4901210766, 119, -32763, 18194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8005
2048, 4098, 2, 4901213827, 119, -32747, 18211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8015
2048, 4098, 2, 4902842553, 119, -32699, -30825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8045
2048, 4098, 2, 4903572413, 119, -32761, -23728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8007
2048, 4098, 2, 4903575474, 119, -32745, -23706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8017
2048, 4098, 2, 4905129655, 119, -32697, -4996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8047
2048, 4098, 2, 4905863601, 119, -32766, 2517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8002
2048, 4098, 2, 4905866661, 119, -32750, 2531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8012
2048, 4098, 2, 4906850495, 119, -32702, 8961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8042
2048, 4098, 2, 4907590123, 119, -32763, 19491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8005
2048, 4098, 2, 4907593183, 119, -32747, 19541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8015
2048, 4098, 2, 4909430738, 119, -32699, -31620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8045
2048, 4098, 2, 4910175845, 119, -32767, -24283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8001
2048, 4098, 2, 4910178904, 119, -32751, -24234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8011
